datetime,season_week,team1,team2,result,pg_score1,pg_score2,elo_prob1,carm-elo_prob1,raptor_prob1,result_v01_prob1,result_v02_prob1
2019-11-08 22:30:00,3,LAL,MIA,1,95.0,80.0,0.605864265782109,0.6386618160245968,0.7752245693603131,0.6388708,0.64220154
2019-11-09 17:00:00,3,SAS,BOS,0,115.0,135.0,0.5624402828295624,0.5500963944310779,0.4396095869062897,0.51082563,0.5311996
2019-11-09 19:00:00,3,CHO,NOP,0,110.0,115.0,0.7269797989854363,0.7953079062928875,0.4945348092618152,0.7439572,0.6333476
2019-11-09 20:00:00,3,CHI,HOU,0,94.0,117.0,0.2918349890268498,0.2000824177410605,0.2782023718062902,0.45533615,0.51826674
2019-11-09 20:00:00,3,MEM,DAL,0,122.0,138.0,0.5482332811873863,0.5453012293625974,0.4227405398839941,0.45144662,0.31311458
2019-11-09 20:00:00,3,OKC,GSW,1,114.0,108.0,0.6529219508739996,0.6967841371395279,0.9273291551116278,0.7466021,0.7702118
2019-11-10 15:30:00,4,MIN,DEN,0,98.0,100.0,0.4936401226785633,0.4823666263513902,0.5168958584850264,0.5216906,0.48250479
2019-11-10 18:00:00,4,ORL,IND,0,102.0,109.0,0.6438844374932963,0.6700508634834241,0.7640982444026506,0.48543546,0.52995944
2019-11-10 18:00:00,4,PHI,CHO,1,114.0,106.0,0.8012373847534671,0.8493674795745573,0.9433536169453002,0.6788319,0.7493132
2019-11-10 19:00:00,4,OKC,MIL,0,119.0,121.0,0.4450428781849545,0.3549369140760233,0.2970257263681253,0.45723945,0.37742668
2019-11-10 19:30:00,4,NYK,CLE,0,87.0,108.0,0.5586630142653799,0.5384474687301904,0.4269240891179595,0.46045512,0.42151466
2019-11-10 20:00:00,4,PHO,BRK,1,138.0,112.0,0.5195612537023537,0.4732497899585394,0.7046667729804111,0.6872968,0.7305481
2019-11-10 21:00:00,4,POR,ATL,1,124.0,113.0,0.8292605488298508,0.8762360957618345,0.8326986879650564,0.5620125,0.5921363
2019-11-10 21:30:00,4,LAL,TOR,0,104.0,113.0,0.4441561233204365,0.3794466227043084,0.8275529243314197,0.6140197,0.6108827
2019-11-11 19:00:00,4,DET,MIN,0,114.0,120.0,0.5843304807413956,0.6481016421416218,0.5557324150669324,0.51210153,0.53685033
2019-11-11 19:30:00,4,BOS,DAL,1,116.0,106.0,0.8030261746312256,0.82537382827838,0.6622854090459239,0.6527101,0.6200159
2019-11-11 19:30:00,4,SAS,MEM,0,109.0,113.0,0.8061871070486685,0.8246859453790198,0.6786709024573162,0.74351925,0.77031296
2019-11-11 20:00:00,4,NOP,HOU,0,116.0,122.0,0.3234313385697146,0.24788547281592044,0.3473291073185021,0.35861412,0.4713755
2019-11-11 22:30:00,4,GSW,UTA,0,108.0,122.0,0.5360617215592862,0.5458396246622157,0.1850789867268018,0.38610727,0.30344453
2019-11-11 22:30:00,4,LAC,TOR,1,98.0,88.0,0.4484953281490221,0.4557672961263621,0.8426624817911759,0.6182668,0.61250407
2019-11-12 19:00:00,4,IND,OKC,1,111.0,85.0,0.6124434015020088,0.5808846228876479,0.5356453487735023,0.68088776,0.59145546
2019-11-12 19:00:00,4,PHI,CLE,1,98.0,97.0,0.8627540637178591,0.9042360137062041,0.8303512886809341,0.70226985,0.70739377
2019-11-12 19:30:00,4,MIA,DET,1,117.0,108.0,0.7699799851820429,0.8145142509719636,0.7735813600425769,0.77401936,0.80940783
2019-11-12 20:00:00,4,CHI,NYK,1,120.0,102.0,0.7396147286375956,0.7578842875577628,0.8088656664826911,0.6307569,0.6832313
2019-11-12 21:00:00,4,DEN,ATL,0,121.0,125.0,0.8540653023833082,0.8981143614864899,0.9286144780913356,0.8270748,0.78122777
2019-11-12 21:00:00,4,PHO,LAL,0,115.0,123.0,0.490221665640861,0.4441697281050183,0.5226185424964049,0.56681025,0.63405824
2019-11-12 21:00:00,4,UTA,BRK,1,119.0,114.0,0.79656364640947,0.7982108095469493,0.833474895273837,0.7528061,0.7168024
2019-11-12 22:00:00,4,SAC,POR,1,107.0,99.0,0.4596763483371219,0.3740833978357393,0.5918302834352902,0.5893509,0.5285691
2019-11-13 19:00:00,4,CHO,MEM,0,117.0,119.0,0.6991979259715546,0.7078341460315931,0.5406528636094811,0.63404137,0.6143313
2019-11-13 19:00:00,4,ORL,PHI,1,112.0,97.0,0.4955150132684183,0.5504243407991887,0.6928712779680365,0.411142,0.5037764
2019-11-13 19:30:00,4,BOS,WAS,1,140.0,133.0,0.8702719116434215,0.8912118591537141,0.834547655949163,0.84571517,0.8132097
2019-11-13 19:30:00,4,HOU,LAC,1,102.0,93.0,0.7339073096870696,0.7669965706524448,0.6822929198446664,0.58716446,0.51278657
